cvegeomun,nom_juri,cvegeojuri
"14038",AMECA,"1409"
"14039",CENTRO GUADALAJARA,"1413"
"14040",AMECA,"1409"
"14041",COLOTLÁN,"1401"
"14042",COLOTLÁN,"1401"
"14043",AUTLÁN,"1407"
"14044",CENTRO TLAQUEPAQUE,"1412"
"14045",CENTRO TONALÁ,"1411"
"14046",TEPATITLÁN,"1403"
"14047",LA BARCA,"1404"
"14048",TEPATITLÁN,"1403"
"14049",TAMAZULA,"1405"
"14050",LA BARCA,"1404"
"14051",CENTRO TONALÁ,"1411"
"14052",AUTLÁN,"1407"
"14053",LAGOS DE MORENO,"1402"
"14054",AUTLÁN,"1407"
"14055",AMECA,"1409"
"14056",TAMAZULA,"1405"
"14057",TAMAZULA,"1405"
"14058",PUERTO VALLARTA,"1408"
"14059",TAMAZULA,"1405"
"14060",TEPATITLÁN,"1403"
"14061",COLOTLÁN,"1401"
"14062",AMECA,"1409"
"14063",LA BARCA,"1404"
"14064",LAGOS DE MORENO,"1402"
"14065",TAMAZULA,"1405"
"14066",LA BARCA,"1404"
"14067",PUERTO VALLARTA,"1408"
"14068",AUTLÁN,"1407"
"14069",TAMAZULA,"1405"
"14070",CENTRO TONALÁ,"1411"
"14071",CENTRO ZAPOPAN,"1410"
"14072",LAGOS DE MORENO,"1402"
"14073",LAGOS DE MORENO,"1402"
"14074",TEPATITLÁN,"1403"
"14075",AMECA,"1409"
"14076",COLOTLÁN,"1401"
"14077",AMECA,"1409"
"14078",TEPATITLÁN,"1403"
"14079",CIUDAD GUZMÁN,"1406"
"14080",PUERTO VALLARTA,"1408"
"14081",COLOTLÁN,"1401"
"14082",CIUDAD GUZMÁN,"1406"
"14083",AMECA,"1409"
"14084",PUERTO VALLARTA,"1408"
"14085",TAMAZULA,"1405"
"14086",CIUDAD GUZMÁN,"1406"
"14087",TAMAZULA,"1405"
"14088",AUTLÁN,"1407"
"14089",CIUDAD GUZMÁN,"1406"
"14090",AUTLÁN,"1407"
"14091",LAGOS DE MORENO,"1402"
"14092",CIUDAD GUZMÁN,"1406"
"14093",TEPATITLÁN,"1403"
"14094",AMECA,"1409"
"14095",AMECA,"1409"
"14096",LA BARCA,"1404"
"14097",CENTRO TLAQUEPAQUE,"1412"
"14098",CENTRO TLAQUEPAQUE,"1412"
"14099",CIUDAD GUZMÁN,"1406"
"14100",PUERTO VALLARTA,"1408"
"14101",CENTRO TONALÁ,"1411"
"14102",AUTLÁN,"1407"
"14103",CIUDAD GUZMÁN,"1406"
"14104",COLOTLÁN,"1401"
"14105",LA BARCA,"1404"
"14106",AUTLÁN,"1407"
"14107",LA BARCA,"1404"
"14108",CIUDAD GUZMÁN,"1406"
"14109",LAGOS DE MORENO,"1402"
"14110",AUTLÁN,"1407"
"14111",TEPATITLÁN,"1403"
"14112",TAMAZULA,"1405"
"14113",CIUDAD GUZMÁN,"1406"
"14114",CENTRO TLAQUEPAQUE,"1412"
"14115",COLOTLÁN,"1401"
"14116",LAGOS DE MORENO,"1402"
"14117",TEPATITLÁN,"1403"
"14118",TEPATITLÁN,"1403"
"14119",CIUDAD GUZMÁN,"1406"
"14120",CENTRO ZAPOPAN,"1410"
"14121",CIUDAD GUZMÁN,"1406"
"14122",CIUDAD GUZMÁN,"1406"
"14123",LA BARCA,"1404"
"14124",CENTRO TONALÁ,"1411"
"14125",TEPATITLÁN,"1403"
"15001",ATLACOMULCO,"1501"
"15002",TEOTIHUACÁN,"1513"
"15003",JILOTEPEC,"1503"
"15004",TENANCINGO,"1508"
"15005",TOLUCA,"1505"
"15006",TENANGO DEL VALLE,"1504"
"15007",VALLE DE BRAVO,"1509"
"15008",TEJUPILCO,"1507"
"15009",AMECAMECA,"1516"
"15010",ZUMPANGO,"1515"
"15011",TEXCOCO,"1519"
"15012",TENANGO DEL VALLE,"1504"
"15013",ATIZAPÁN DE ZARAGOZA,"1510"
"15014",ATLACOMULCO,"1501"
"15015",AMECAMECA,"1516"
"15016",TEOTIHUACÁN,"1513"
"15017",AMECAMECA,"1516"
"15018",TENANGO DEL VALLE,"1504"
"15019",TENANGO DEL VALLE,"1504"
"15020",ECATEPEC,"1517"
"15021",TENANCINGO,"1508"
"15022",AMECAMECA,"1516"
"15023",CUAUTITLÁN,"1511"
"15024",CUAUTITLÁN,"1511"
"15025",AMECAMECA,"1516"
"15026",JILOTEPEC,"1503"
"15027",TENANGO DEL VALLE,"1504"
"15028",TEXCOCO,"1519"
"15029",TEXCOCO,"1519"
"15030",TEXCOCO,"1519"
"15031",TEXCOCO,"1519"
"15032",VALLE DE BRAVO,"1509"
"15033",ECATEPEC,"1517"
"15034",AMECAMECA,"1516"
"15035",ZUMPANGO,"1515"
"15036",ZUMPANGO,"1515"
"15037",XONACATLÁN,"1506"
"15038",ATIZAPÁN DE ZARAGOZA,"1510"
"15039",AMECAMECA,"1516"
"15040",TENANCINGO,"1508"
"15041",VALLE DE BRAVO,"1509"
"15042",IXTLAHUACA,"1502"
"15043",TENANGO DEL VALLE,"1504"
"15044",ZUMPANGO,"1515"
"15045",JILOTEPEC,"1503"
"15046",NAUCALPAN,"1512"
"15047",IXTLAHUACA,"1502"
"15048",IXTLAHUACA,"1502"
"15049",TENANGO DEL VALLE,"1504"
"15050",AMECAMECA,"1516"
"15051",XONACATLÁN,"1506"
"15052",TENANCINGO,"1508"
"15053",CUAUTITLÁN,"1511"
"15054",TOLUCA,"1505"
"15055",TENANGO DEL VALLE,"1504"
"15056",IXTLAHUACA,"1502"
"15057",NAUCALPAN,"1512"
"15058",NEZAHUALCÓYOTL,"1518"
"15059",ZUMPANGO,"1515"
